date,temperature_2m_mean,precipitation_sum
2024-01-01,29.72915,0.0
2024-01-02,28.844149,0.0
2024-01-03,32.5079,0.0
2024-01-04,33.119152,0.003937008
2024-01-05,25.304152,0.0
2024-01-06,30.752897,0.019685041
2024-01-07,31.16165,1.1496062
2024-01-08,24.726648,0.0
2024-01-09,25.3304,0.32677168
2024-01-10,47.631653,1.9370079
2024-01-11,36.61415,0.0
2024-01-12,36.96665,0.0
2024-01-13,46.5029,1.3779527
2024-01-14,33.6179,0.05905512
2024-01-15,26.200401,0.0
2024-01-16,29.594152,0.6496062
2024-01-17,20.66165,0.0
2024-01-18,22.405401,0.0
2024-01-19,22.945398,0.011811024
2024-01-20,15.475402,0.011811024
2024-01-21,17.526651,0.0
2024-01-22,27.329153,0.0
2024-01-23,35.204147,0.05511811
2024-01-24,33.7079,0.2086614
2024-01-25,43.4579,0.37007874
2024-01-26,38.792896,0.65354323
2024-01-27,35.342896,0.003937008
2024-01-28,33.4754,0.5708661
2024-01-29,34.46165,0.17322835
2024-01-30,26.740396,0.0
2024-01-31,29.44415,0.0
2024-02-01,32.79665,0.0
2024-02-02,35.620396,0.05511811
2024-02-03,29.684145,0.0
2024-02-04,29.342897,0.0
2024-02-05,30.194147,0.0
2024-02-06,30.42665,0.0
2024-02-07,31.727903,0.0
2024-02-08,32.20415,0.0
2024-02-09,35.635403,0.0
2024-02-10,43.776653,0.08661418
2024-02-11,40.956646,0.0
2024-02-12,35.59415,0.0
2024-02-13,31.986649,0.38582677
2024-02-14,26.7479,0.0
2024-02-15,27.591646,0.03543307
2024-02-16,32.65415,0.003937008
2024-02-17,29.305397,0.03543307
2024-02-18,27.7754,0.0
2024-02-19,29.2379,0.0
2024-02-20,26.436651,0.0
2024-02-21,28.07915,0.0
2024-02-22,31.154146,0.003937008
2024-02-23,36.6779,0.118110225
2024-02-24,31.986649,0.0
2024-02-25,25.146652,0.0
2024-02-26,38.62415,0.0
2024-02-27,41.481647,0.0
2024-02-28,53.042904,0.42519683
2024-02-29,30.430403,0.22440945
2024-03-01,30.719154,0.0
2024-03-02,40.877903,0.4173228
2024-03-03,48.625397,0.52362204
2024-03-04,43.4429,0.007874016
2024-03-05,40.8404,0.22834645
2024-03-06,46.3004,0.17716536
2024-03-07,42.15665,1.1574802
2024-03-08,39.276653,0.0
2024-03-09,36.40415,0.047244094
2024-03-10,46.6004,0.8228347
2024-03-11,36.981647,0.01968504
2024-03-12,41.32415,0.0
2024-03-13,40.056652,0.0
2024-03-14,41.81165,0.0
2024-03-15,43.150402,0.42125988
2024-03-16,44.31665,0.015748031
2024-03-17,46.967896,0.07874015
2024-03-18,41.24915,0.0
2024-03-19,37.31165,0.0
2024-03-20,40.51415,0.090551175
2024-03-21,31.4729,0.0
2024-03-22,32.057903,0.0
2024-03-23,39.17915,2.031496
2024-03-24,33.09665,0.0
2024-03-25,34.88165,0.0
2024-03-26,36.98915,0.023622047
2024-03-27,42.824146,0.15354331
2024-03-28,46.142902,1.3661416
2024-03-29,42.284153,0.6496062
2024-03-30,43.4129,0.0
2024-03-31,45.6254,0.0
2024-04-01,43.03415,0.0
2024-04-02,41.02415,0.082677156
2024-04-03,39.44915,0.507874
2024-04-04,36.1004,1.2677163
2024-04-05,39.167896,0.015748031
2024-04-06,38.837902,0.11023621
2024-04-07,40.2779,0.0
2024-04-08,48.65915,0.0
2024-04-09,47.369144,0.0
2024-04-10,48.5804,0.031496063
2024-04-11,48.790394,0.18897638
2024-04-12,58.480404,0.6968504
2024-04-13,50.58665,0.0
2024-04-14,50.3354,0.031496063
2024-04-15,54.8429,0.003937008
2024-04-16,53.305405,0.003937008
2024-04-17,46.450397,0.0
2024-04-18,44.5229,0.25984251
2024-04-19,48.15665,0.0
2024-04-20,50.177902,0.27559054
2024-04-21,45.426655,0.0
2024-04-22,44.586655,0.0
2024-04-23,46.652905,0.0
2024-04-24,48.53915,0.08661418
2024-04-25,40.85165,0.0
2024-04-26,43.251648,0.0
2024-04-27,49.371655,0.0
2024-04-28,55.772892,0.08267716
2024-04-29,59.657898,0.0
2024-04-30,51.085403,0.03543307
2024-05-01,47.1929,0.18503934
2024-05-02,54.977905,0.074803144
2024-05-03,49.911655,0.0
2024-05-04,47.76665,0.0
2024-05-05,49.94165,0.2519685
2024-05-06,60.816647,0.07086614
2024-05-07,61.9529,0.0
2024-05-08,57.542904,0.99606293
2024-05-09,53.744144,0.0
2024-05-10,49.49165,0.023622047
2024-05-11,46.83665,0.027559055
2024-05-12,49.454147,0.007874016
2024-05-13,54.576656,0.011811024
2024-05-14,61.53665,0.0
2024-05-15,62.9729,0.17322834
2024-05-16,56.162907,1.2874016
2024-05-17,56.954144,0.0
2024-05-18,54.141647,0.58661413
2024-05-19,54.197895,0.062992126
2024-05-20,56.245403,0.0
2024-05-21,67.1204,0.01968504
2024-05-22,72.7604,0.0
2024-05-23,71.54914,0.14173228
2024-05-24,71.47415,0.0
2024-05-25,65.567894,0.0
2024-05-26,65.12914,0.015748031
2024-05-27,65.72165,0.16535433
2024-05-28,71.80789,0.4015748
2024-05-29,66.8954,0.007874016
2024-05-30,56.82665,0.8110236
2024-05-31,62.15915,0.0
2024-06-01,65.2304,0.0
2024-06-02,67.4129,0.0
2024-06-03,67.13541,0.0
2024-06-04,63.467896,0.0
2024-06-05,70.84791,0.0
2024-06-06,67.4804,0.14173228
2024-06-07,69.692894,0.070866145
2024-06-08,67.22915,0.003937008
2024-06-09,62.78915,0.31889763
2024-06-10,65.110405,0.0
2024-06-11,63.659145,0.023622049
2024-06-12,66.14916,0.023622049
2024-06-13,70.439156,0.0
2024-06-14,72.257904,0.40944877
2024-06-15,68.2754,0.074803144
2024-06-16,62.200405,0.0
2024-06-17,68.9504,0.0
2024-06-18,79.10915,0.0
2024-06-19,81.062904,0.015748031
2024-06-20,81.8354,0.007874016
2024-06-21,73.56664,0.26771656
2024-06-22,66.554146,0.062992126
2024-06-23,74.421646,0.09448819
2024-06-24,76.31539,0.015748031
2024-06-25,75.531654,0.60236216
2024-06-26,79.01165,0.05511811
2024-06-27,72.82415,0.4055118
2024-06-28,65.8154,0.0
2024-06-29,67.05291,0.14566928
2024-06-30,77.462906,0.38976377
2024-07-01,70.1954,0.7559055
2024-07-02,70.30789,0.0
2024-07-03,71.51914,0.0
2024-07-04,74.6804,0.003937008
2024-07-05,76.5554,0.05511811
2024-07-06,77.69915,0.17322835
2024-07-07,79.8104,0.0
2024-07-08,80.58665,0.0
2024-07-09,80.02039,0.09448819
2024-07-10,81.20916,0.0
2024-07-11,81.201645,0.04330709
2024-07-12,79.116646,0.08267716
2024-07-13,76.6529,0.507874
2024-07-14,80.23414,0.0
2024-07-15,81.10415,0.18503937
2024-07-16,83.91665,0.015748031
2024-07-17,81.6704,0.122047246
2024-07-18,78.2279,0.2401575
2024-07-19,72.9404,0.0
2024-07-20,75.58041,0.0
2024-07-21,76.33788,0.027559055
2024-07-22,73.97166,0.003937008
2024-07-23,72.28414,0.19685039
2024-07-24,68.80789,0.06692913
2024-07-25,73.08666,0.16929132
2024-07-26,73.54416,0.0
2024-07-27,73.6754,0.0
2024-07-28,71.177895,0.22834645
2024-07-29,69.26165,0.42519683
2024-07-30,76.7654,0.015748031
2024-07-31,76.679146,0.082677156
2024-08-01,80.717896,0.0
2024-08-02,80.22289,0.05511811
2024-08-03,81.90665,0.027559055
2024-08-04,77.32414,0.46850395
2024-08-05,78.69291,0.0
2024-08-06,70.57415,0.22047246
2024-08-07,64.904144,0.7244094
2024-08-08,65.0579,0.122047246
2024-08-09,74.2154,0.27165353
2024-08-10,77.87164,0.15748031
2024-08-11,72.92165,0.0
2024-08-12,68.4029,0.06692913
2024-08-13,70.1054,0.0
2024-08-14,71.2604,0.0
2024-08-15,70.225395,0.06692914
2024-08-16,68.2304,0.0
2024-08-17,67.72039,0.0
2024-08-18,67.679146,0.09448819
2024-08-19,70.66039,0.48818895
2024-08-20,64.52165,0.03937008
2024-08-21,62.27165,0.08267716
2024-08-22,63.205395,0.0
2024-08-23,67.8854,0.0
2024-08-24,70.427895,0.0
2024-08-25,70.87415,0.0
2024-08-26,68.2904,0.13385826
2024-08-27,69.295395,0.003937008
2024-08-28,76.787895,0.0118110245
2024-08-29,64.8404,0.0
2024-08-30,63.8279,0.0
2024-08-31,69.3854,0.0
2024-09-01,73.8854,0.066929124
2024-09-02,70.42415,0.0118110245
2024-09-03,63.03291,0.0
2024-09-04,65.8454,0.0
2024-09-05,64.7879,0.0
2024-09-06,64.866646,0.003937008
2024-09-07,66.13789,0.059055112
2024-09-08,60.629154,0.003937008
2024-09-09,63.26914,0.0
2024-09-10,65.5454,0.0
2024-09-11,63.27664,0.0
2024-09-12,66.3554,0.0
2024-09-13,69.15665,0.01968504
2024-09-14,67.292885,0.0
2024-09-15,65.97665,0.0
2024-09-16,65.36915,0.0
2024-09-17,67.13165,0.0
2024-09-18,64.89665,0.0
2024-09-19,67.694145,0.01968504
2024-09-20,63.359146,0.3346456
2024-09-21,59.01666,1.185039
2024-09-22,59.26415,0.24015746
2024-09-23,58.900387,0.031496063
2024-09-24,57.89166,0.027559055
2024-09-25,60.76415,0.01968504
2024-09-26,63.332897,0.19685039
2024-09-27,65.9954,0.027559057
2024-09-28,61.750397,0.0
2024-09-29,59.47415,0.007874016
2024-09-30,59.1929,0.0
2024-10-01,59.00915,0.062992126
2024-10-02,59.12915,0.0
2024-10-03,59.2679,0.0
2024-10-04,61.3304,0.0
2024-10-05,60.902897,0.003937008
2024-10-06,54.33665,0.0
2024-10-07,56.560406,0.46456692
2024-10-08,54.629154,0.0
2024-10-09,52.461655,0.01968504
2024-10-10,50.181652,0.003937008
2024-10-11,53.245403,0.0
2024-10-12,59.25664,0.0
2024-10-13,47.2979,0.35433072
2024-10-14,50.661655,0.03937008
2024-10-15,46.1429,0.0
2024-10-16,46.172897,0.0
2024-10-17,45.130405,0.0
2024-10-18,49.3154,0.0
2024-10-19,51.479156,0.0
2024-10-20,55.067898,0.0
2024-10-21,62.147903,0.0
2024-10-22,59.26415,0.0
2024-10-23,62.21915,0.0
2024-10-24,60.524143,0.0
2024-10-25,49.671658,0.0
2024-10-26,52.499157,0.0
2024-10-27,45.119144,0.0
2024-10-28,41.9129,0.0
2024-10-29,46.4129,0.0
2024-10-30,57.400406,0.11811024
2024-10-31,65.444145,0.0
2024-11-01,66.055405,0.0
2024-11-02,49.544147,0.0
2024-11-03,40.0604,0.0
2024-11-04,40.51415,0.0
2024-11-05,58.135403,0.0
2024-11-06,67.0529,0.0
2024-11-07,59.552906,0.0
2024-11-08,51.437897,0.0118110245
2024-11-09,43.450397,0.0
2024-11-10,44.241653,0.0118110245
2024-11-11,57.48665,0.1535433
2024-11-12,47.1404,0.0
2024-11-13,37.769146,0.0
2024-11-14,36.8129,0.0
2024-11-15,41.541653,0.0
2024-11-16,49.36415,0.0
2024-11-17,50.8829,0.0
2024-11-18,50.369144,0.003937008
2024-11-19,48.797897,0.0
2024-11-20,44.3054,0.0
2024-11-21,47.06915,0.5196851
2024-11-22,47.147903,0.54330707
2024-11-23,43.98665,0.7007873
2024-11-24,43.870396,0.0
2024-11-25,40.07915,0.0
2024-11-26,38.061653,0.24015749
2024-11-27,39.925404,0.0
2024-11-28,40.664146,0.6614173
2024-11-29,38.976654,0.003937008
2024-11-30,33.6179,0.0
2024-12-01,31.071653,0.0
2024-12-02,30.449152,0.0
2024-12-03,30.066652,0.0
2024-12-04,31.491648,0.0
2024-12-05,36.261646,0.44488186
2024-12-06,28.469154,0.0
2024-12-07,29.969147,0.0
2024-12-08,38.815403,0.04330708
2024-12-09,39.74915,0.27165353
2024-12-10,39.1079,0.0511811
2024-12-11,52.0679,2.570866
2024-12-12,38.886646,0.26771653
2024-12-13,27.617899,0.0
2024-12-14,26.66165,0.0
2024-12-15,26.429152,0.0
2024-12-16,35.98415,0.007874016
2024-12-17,50.714153,0.13779528
2024-12-18,40.975407,0.1968504
2024-12-19,38.830402,0.20078741
2024-12-20,31.844147,0.44094488
2024-12-21,22.791649,0.0
2024-12-22,11.924151,0.0
2024-12-23,14.267899,0.0
2024-12-24,28.1054,0.027559057
2024-12-25,23.680399,0.0
2024-12-26,27.089151,0.0
2024-12-27,24.936647,0.0
2024-12-28,36.02165,0.047244094
2024-12-29,42.505398,0.023622047
2024-12-30,51.032898,0.65354335
2024-12-31,41.67665,0.0
